volume,volume weighted,open,close,high,low,time
85630.0,366.5423,366.515,366.64,366.7264,366.37,2022-10-17 17:00:00
117447.0,367.4316,367.4,367.4901,367.52,367.29,2022-10-17 18:00:00
263086.0,366.4843,366.81,366.6598,366.8299,366.55,2022-10-17 19:00:00
452138.0,366.7624,366.77,366.93,366.95,366.63,2022-10-17 20:00:00
6074.0,367.6762,367.69,367.65,367.69,367.65,2022-10-17 21:00:00
35778.0,368.5788,368.2,368.78,369.08,368.2,2022-10-17 22:00:00
1963.0,369.2233,369.22,369.22,369.24,369.22,2022-10-17 23:00:00
13143.0,373.06,373.05,373.07,373.19,372.54,2022-10-18 08:00:00
3374.0,370.7523,370.83,370.75,370.93,370.64,2022-10-18 09:00:00
2262.0,371.5279,371.44,371.57,371.57,371.44,2022-10-18 10:00:00
12794.0,371.6824,371.71,371.66,371.72,371.64,2022-10-18 11:00:00
163412.0,372.8348,371.72,373.51,373.8199,370.3204,2022-10-18 12:00:00
16684.0,375.0669,375.09,374.91,375.24,374.91,2022-10-18 13:00:00
200749.0,373.248,373.12,373.37,373.49,373.04,2022-10-18 14:00:00
285494.0,371.1794,371.49,371.1,371.515,371.0,2022-10-18 15:00:00
194379.0,369.2519,369.2,369.13,369.3,369.09,2022-10-18 16:00:00
204888.0,370.3208,370.44,369.88,370.65,369.88,2022-10-18 17:00:00
112931.0,372.0223,372.03,372.05,372.13,371.92,2022-10-18 18:00:00
160281.0,369.2999,369.4,369.18,369.51,369.08,2022-10-18 19:00:00
759160.0,369.5188,371.14,371.0,371.51,370.1,2022-10-18 20:00:00
617.0,371.3816,373.67,373.67,373.7,373.67,2022-10-18 21:00:00
10366.0,373.6972,373.76,373.69,373.76,373.56,2022-10-18 22:00:00
3070.0,373.783,373.75,373.79,373.8,373.75,2022-10-18 23:00:00
3769.0,371.9855,371.79,371.8,372.93,371.0,2022-10-19 08:00:00
814.0,370.7927,370.83,370.77,370.83,370.77,2022-10-19 09:00:00
802.0,373.0353,373.0,373.07,373.07,373.0,2022-10-19 10:00:00
7256.0,371.4077,371.24,371.5,371.5,371.24,2022-10-19 11:00:00
107591.0,370.0351,371.48,369.8,372.7996,369.03,2022-10-19 12:00:00
7012.0,368.8155,368.84,368.81,368.88,368.78,2022-10-19 13:00:00
163148.0,368.4543,368.58,368.4,368.61,368.31,2022-10-19 14:00:00
142133.0,369.6227,369.68,369.72,369.75,369.43,2022-10-19 15:00:00
182186.0,369.6048,369.73,369.33,369.82,369.25,2022-10-19 16:00:00
148878.0,367.287,367.23,367.46,367.48,367.09,2022-10-19 17:00:00
155814.0,366.9223,366.931,367.11,367.15,366.58,2022-10-19 18:00:00
89323.0,367.2072,367.19,367.11,367.3,367.08,2022-10-19 19:00:00
541409.0,369.619,368.56,368.62,368.62,368.32,2022-10-19 20:00:00
2639.0,368.7591,368.82,368.76,368.82,368.71,2022-10-19 21:00:00
15918.0,368.4709,368.58,368.34,368.66,368.21,2022-10-19 22:00:00
6963.0,366.4351,367.49,366.19,367.49,366.19,2022-10-20 08:00:00
907.0,366.716,366.71,366.7,366.71,366.7,2022-10-20 09:00:00
1734.0,367.5634,367.55,367.63,367.63,367.55,2022-10-20 10:00:00
21678.0,369.4138,369.54,369.43,369.6,369.29,2022-10-20 11:00:00
78142.0,369.5534,369.7598,369.4,370.32,367.3904,2022-10-20 12:00:00
16422.0,367.637,367.53,367.72,367.8,367.47,2022-10-20 13:00:00
199825.0,369.3702,369.11,369.68,369.74,368.975,2022-10-20 14:00:00
235235.0,372.0462,371.97,372.045,372.16,371.93,2022-10-20 15:00:00
206373.0,370.2431,370.2499,370.155,370.3786,370.08,2022-10-20 16:00:00
65818.0,367.8602,367.9219,367.79,367.93,367.78,2022-10-20 17:00:00
294250.0,366.1132,366.09,365.9601,366.23,365.96,2022-10-20 18:00:00
143430.0,365.767,365.6015,365.7942,365.99,365.6,2022-10-20 19:00:00
285596.0,365.4788,365.45,365.59,365.68,365.36,2022-10-20 20:00:00
22395.0,365.4127,365.64,365.32,365.68,365.32,2022-10-20 22:00:00
3299.0,364.2121,364.25,364.18,364.25,364.18,2022-10-20 23:00:00
1282.0,363.9325,364.0,363.87,364.0,363.87,2022-10-21 08:00:00
466.0,363.348,363.36,363.34,363.36,363.34,2022-10-21 09:00:00
1409.0,363.6201,363.63,363.61,363.65,363.61,2022-10-21 10:00:00
12236.0,363.939,363.91,363.85,364.05,363.85,2022-10-21 11:00:00
44627.0,363.9292,363.66,363.36,364.5,363.0904,2022-10-21 12:00:00
246452.0,363.8589,363.59,364.38,364.38,363.42,2022-10-21 13:00:00
394175.0,369.2453,369.11,369.23,369.5,368.86,2022-10-21 14:00:00
167993.0,366.6372,366.79,366.5191,366.9,366.45,2022-10-21 15:00:00
257113.0,370.3382,370.03,370.4,370.59,370.03,2022-10-21 16:00:00
138435.0,371.4433,371.32,371.46,371.609,371.24,2022-10-21 17:00:00
145708.0,372.6343,372.62,372.59,372.75,372.54,2022-10-21 18:00:00
169243.0,372.9171,372.9,372.875,372.9965,372.82,2022-10-21 19:00:00
299367.0,374.2854,374.24,374.54,374.54,374.1,2022-10-21 20:00:00
862.0,374.9985,375.0,374.96,375.01,374.96,2022-10-21 21:00:00
477.0,375.1281,375.19,375.11,375.19,375.11,2022-10-21 22:00:00
119.0,375.4784,375.48,375.48,375.48,375.48,2022-10-21 23:00:00
8958.0,373.7647,373.95,373.51,374.45,373.45,2022-10-24 08:00:00
524.0,372.8297,372.86,372.81,372.86,372.81,2022-10-24 09:00:00
19506.0,374.6388,374.51,374.83,374.83,374.51,2022-10-24 10:00:00
7903.0,375.8837,375.99,375.79,376.0,375.79,2022-10-24 11:00:00
126632.0,376.3349,375.94,377.03,378.08,371.6896,2022-10-24 12:00:00
10389.0,376.9822,377.15,376.8,377.15,376.8,2022-10-24 13:00:00
315219.0,376.8131,377.69,376.45,377.71,376.23,2022-10-24 14:00:00
417065.0,376.3622,376.62,376.38,376.7,375.9684,2022-10-24 15:00:00
213671.0,378.0231,378.09,378.2,378.25,377.82,2022-10-24 16:00:00
69829.0,377.6365,377.7,377.56,377.75,377.56,2022-10-24 17:00:00
248644.0,377.2882,377.17,377.41,377.43,377.05,2022-10-24 18:00:00
116795.0,379.3998,379.35,379.46,379.53,379.22,2022-10-24 19:00:00
882622.0,378.8307,378.82,378.75,378.87,378.65,2022-10-24 20:00:00
1577.0,378.3587,378.37,378.35,378.37,378.35,2022-10-24 21:00:00
34582.0,378.4131,378.47,378.47,378.48,378.35,2022-10-24 22:00:00
2432.0,379.1956,379.23,379.16,379.23,379.16,2022-10-24 23:00:00
5183.0,378.5296,378.0,378.98,378.98,378.0,2022-10-25 08:00:00
1613.0,378.0471,378.08,377.98,378.09,377.98,2022-10-25 09:00:00
4060.0,377.8561,377.83,377.84,377.9,377.8,2022-10-25 11:00:00
64035.0,377.6509,377.88,377.4,378.3896,377.37,2022-10-25 12:00:00
20555.0,377.8522,377.82,378.01,378.01,377.8,2022-10-25 13:00:00
529140.0,382.3176,382.4,382.14,382.76,382.03,2022-10-25 14:00:00
128259.0,382.2474,382.23,382.27,382.34,382.145,2022-10-25 15:00:00
89274.0,383.4591,383.5,383.44,383.54,383.4,2022-10-25 16:00:00
131713.0,383.305,383.085,383.4225,383.48,383.08,2022-10-25 17:00:00
307986.0,383.1113,382.97,383.2655,383.28,382.8865,2022-10-25 18:00:00
